Store ID,Store,Country, January , February , March , April , May , June , July , August , September , October , November 
1,Palisades,US," $371,700.00 "," $435,950.00 "," $372,460.00 "," $192,260.00 "," $157,550.00 "," $332,550.00 "," $89,630.00 "," $372,090.00 "," $421,670.00 "," $173,010.00 "," $173,220.00 "
2,Billings,US," $97,530.00 "," $324,140.00 "," $454,480.00 "," $36,810.00 "," $219,790.00 "," $210,970.00 "," $84,840.00 "," $175,440.00 "," $283,710.00 "," $275,320.00 "," $401,940.00 "
3,Laguardia,US," $346,130.00 "," $157,510.00 "," $288,990.00 "," $358,190.00 "," $96,860.00 "," $461,950.00 "," $80,440.00 "," $404,990.00 "," $450,630.00 "," $327,270.00 "," $370,100.00 "
4,Cheeseburger,US," $442,010.00 "," $212,390.00 "," $183,580.00 "," $308,650.00 "," $184,340.00 "," $156,540.00 "," $328,180.00 "," $281,430.00 "," $498,150.00 "," $473,150.00 "," $23,740.00 "
5,Detroit,US," $33,250.00 "," $36,840.00 "," $320,170.00 "," $242,650.00 "," $350,300.00 "," $421,980.00 "," $307,190.00 "," $16,900.00 "," $443,990.00 "," $346,230.00 "," $312,670.00 "
6,Towns,US," $16,632.00 "," $25,372.00 "," $38,178.00 "," $13,222.00 "," $16,031.00 "," $37,162.00 "," $22,541.00 "," $16,700.00 "," $10,475.00 "," $1,897.00 "," $10,493.00 "
7,Tim Horton's,Canada," $6,914.00 "," $44,174.00 "," $11,146.00 "," $42,255.00 "," $11,479.00 "," $36,679.00 "," $15,083.00 "," $4,483.00 "," $21,548.00 "," $32,019.00 "," $33,065.00 "
8,Eh,Canada," $46,366.00 "," $21,279.00 "," $29,425.00 "," $44,941.00 "," $35,283.00 "," $26,689.00 "," $17,732.00 "," $39,317.00 "," $44,241.00 "," $19,023.00 "," $42,748.00 "
9,Maple,Canada," $9,736.00 "," $42,094.00 "," $38,200.00 "," $41,681.00 "," $43,238.00 "," $25,596.00 "," $26,660.00 "," $36,373.00 "," $49,610.00 "," $25,501.00 "," $23,930.00 "
10,Victoria,Canada," $6,291.00 "," $11,958.00 "," $14,499.00 "," $29,775.00 "," $21,140.00 "," $32,394.00 "," $47,067.00 "," $25,530.00 "," $44,347.00 "," $21,715.00 "," $10,201.00 "
11,Chelsea,UK," $5,560.00 "," $30,152.00 "," $10,842.00 "," $13,848.00 "," $47,450.00 "," $3,848.00 "," $1,351.00 "," $11,272.00 "," $38,292.00 "," $9,885.00 "," $18,657.00 "
12,Wimbledon,UK," $33,549.00 "," $4,615.00 "," $2,452.00 "," $48,756.00 "," $11,865.00 "," $2,873.00 "," $9,719.00 "," $4,030.00 "," $36,857.00 "," $8,010.00 "," $37,052.00 "
13,Blimey,UK," $24,545.00 "," $19,846.00 "," $16,234.00 "," $39,666.00 "," $13,778.00 "," $18,663.00 "," $26,323.00 "," $14,606.00 "," $14,103.00 "," $22,061.00 "," $30,824.00 "
14,Innit,UK," $37,020.00 "," $40,272.00 "," $49,665.00 "," $1,927.00 "," $23,487.00 "," $32,834.00 "," $38,415.00 "," $7,007.00 "," $20,573.00 "," $31,603.00 "," $32,677.00 "
15,Hokkaido,Japan," $15,206.00 "," $15,846.00 "," $6,396.00 "," $16,904.00 "," $6,848.00 "," $16,499.00 "," $27,786.00 "," $35,328.00 "," $27,552.00 "," $39,128.00 "," $36,680.00 "
16,Fuji,Japan," $46,110.00 "," $22,397.00 "," $20,528.00 "," $14,781.00 "," $24,157.00 "," $1,685.00 "," $34,364.00 "," $18,565.00 "," $46,975.00 "," $27,678.00 "," $26,571.00 "
17,Steve,China," $15,498.00 "," $5,637.00 "," $49,579.00 "," $39,501.00 "," $15,686.00 "," $48,254.00 "," $22,620.00 "," $10,306.00 "," $34,958.00 "," $42,506.00 "," $24,437.00 "
18,Nanjing,China," $3,536.00 "," $4,136.00 "," $1,612.00 "," $32,694.00 "," $11,814.00 "," $44,960.00 "," $10,875.00 "," $18,149.00 "," $18,212.00 "," $46,117.00 "," $27,745.00 "
19,Paolo,Brazil," $43,242.00 "," $43,813.00 "," $22,296.00 "," $36,543.00 "," $23,333.00 "," $47,959.00 "," $31,211.00 "," $20,851.00 "," $36,855.00 "," $19,133.00 "," $5,525.00 "
20,Camembert,France," $93,530.00 "," $217,000.00 "," $64,460.00 "," $25,003.00 "," $54,550.00 "," $33,189.00 "," $22,122.00 "," $98,970.00 "," $25,770.00 "," $14,544.00 "," $398,520.00 "
